School Name,Projected Core Teacher Position Loss,Rep,Senate,ERSB,100% Funding,Positions 100%,95% Funding,Positions 95%,90% Funding,Positions 90%,85% Funding,Positions 85%,80% Funding,Positions 80%
GRESHAM,-2,27,14,9A,"$1,144,963 ",11,"$930,810 ",9,"$716,658 ",7,"$502,505 ",5,"$288,352 ",3
GRIMES,-1,22,11,8A,"$1,379,827 ",14,"$1,121,745 ",11,"$863,664 ",9,"$605,583 ",6,"$347,502 ",3
GRISSOM,-2,33,17,10B,"$1,185,699 ",12,"$963,927 ",10,"$742,155 ",7,"$520,383 ",5,"$298,612 ",3
GUNSAULUS,-1,23,12,7B,"$1,990,757 ",20,"$1,618,408 ",16,"$1,246,059 ",12,"$873,710 ",9,"$501,361 ",5
HAINES,-2,24,12,7B,"$1,405,541 ",14,"$1,142,650 ",11,"$879,759 ",9,"$616,868 ",6,"$353,978 ",4
HALE,-3,22,11,8A,"$2,114,351 ",21,"$1,718,885 ",17,"$1,323,419 ",13,"$927,953 ",9,"$532,488 ",5
HALEY,-2,28,14,9B,"$1,747,414 ",17,"$1,420,580 ",14,"$1,093,745 ",11,"$766,911 ",8,"$440,076 ",4
HAMILTON,-1,11,6,4A,"$1,450,145 ",15,"$1,178,912 ",12,"$907,678 ",9,"$636,445 ",6,"$365,211 ",4
HAMLINE,-2,6,3,8B,"$2,128,332 ",21,"$1,730,251 ",17,"$1,332,170 ",13,"$934,089 ",9,"$536,008 ",5
HAMMOND,-1,24,12,7A,"$1,106,472 ",11,"$899,519 ",9,"$692,565 ",7,"$485,612 ",5,"$278,659 ",3
HAMPTON,-3,32,16,8A,"$1,507,790 ",15,"$1,225,775 ",12,"$943,759 ",9,"$661,744 ",7,"$379,728 ",4
HANCOCK HS,-3,22,11,8A,"$2,838,251 ",28,"$2,307,388 ",23,"$1,776,524 ",18,"$1,245,661 ",12,"$714,798 ",7
HANSON PARK,-4,3,2,3B,"$4,816,341 ",48,"$3,915,498 ",39,"$3,014,655 ",30,"$2,113,812 ",21,"$1,212,968 ",12
HARLAN HS,0,34,17,9B,"$1,158,308 ",12,"$941,659 ",9,"$725,011 ",7,"$508,362 ",5,"$291,713 ",3
HARTE,-1,25,13,10A,"$1,309,544 ",13,"$1,064,608 ",11,"$819,673 ",8,"$574,737 ",6,"$329,801 ",3
HARVARD,-1,31,16,9A,"$1,529,211 ",15,"$1,243,189 ",12,"$957,167 ",10,"$671,145 ",7,"$385,123 ",4
HAUGAN,-2,40,20,3A,"$3,421,901 ",34,"$2,781,872 ",28,"$2,141,844 ",21,"$1,501,815 ",15,"$861,787 ",9
HAWTHORNE,-1,11,6,4A,"$1,689,069 ",17,"$1,373,147 ",14,"$1,057,226 ",11,"$741,304 ",7,"$425,383 ",4
HAY,0,8,4,5A,"$1,110,744 ",11,"$902,992 ",9,"$695,240 ",7,"$487,487 ",5,"$279,735 ",3
HAYT,0,14,7,2B,"$2,922,539 ",29,"$2,375,910 ",24,"$1,829,282 ",18,"$1,282,653 ",13,"$736,025 ",7
HEALY,-4,24,12,7B,"$3,124,865 ",31,"$2,540,394 ",25,"$1,955,922 ",20,"$1,371,451 ",14,"$786,980 ",8
HEARST,0,1,1,7A,"$1,520,151 ",15,"$1,235,824 ",12,"$951,496 ",10,"$667,169 ",7,"$382,841 ",4
HEDGES,-3,6,3,8B,"$1,675,224 ",17,"$1,361,892 ",14,"$1,048,560 ",10,"$735,228 ",7,"$421,896 ",4
HEFFERAN,0,10,5,5B,"$1,019,537 ",10,"$828,844 ",8,"$638,151 ",6,"$447,458 ",4,"$256,765 ",3
HENDERSON,0,6,3,9A,"$1,186,431 ",12,"$964,522 ",10,"$742,613 ",7,"$520,705 ",5,"$298,796 ",3
HENDRICKS,0,6,3,6B,"$1,224,754 ",12,"$995,677 ",10,"$766,601 ",8,"$537,524 ",5,"$308,447 ",3
HENRY,-2,40,20,3A,"$1,521,037 ",15,"$1,236,544 ",12,"$952,051 ",10,"$667,558 ",7,"$383,065 ",4
HERNANDEZ,-2,1,1,7B,"$2,080,318 ",21,"$1,691,218 ",17,"$1,302,117 ",13,"$913,017 ",9,"$523,917 ",5
HERZL,-1,9,5,5B,"$1,796,339 ",18,"$1,460,353 ",15,"$1,124,368 ",11,"$788,383 ",8,"$452,398 ",5
HIBBARD,-4,40,20,2B,"$2,551,854 ",26,"$2,074,558 ",21,"$1,597,262 ",16,"$1,119,966 ",11,"$642,670 ",6
HIGGINS,-1,27,14,9B,"$1,217,672 ",12,"$989,920 ",10,"$762,168 ",8,"$534,416 ",5,"$306,664 ",3
HIRSCH HS,0,32,16,10B,"$918,234 ",9,"$746,489 ",7,"$574,743 ",6,"$402,998 ",4,"$231,252 ",2
HITCH,-3,19,10,1A,"$1,503,722 ",15,"$1,222,468 ",12,"$941,213 ",9,"$659,959 ",7,"$378,704 ",4
HOLDEN,-2,24,12,7B,"$1,370,243 ",14,"$1,113,954 ",11,"$857,666 ",9,"$601,377 ",6,"$345,088 ",3
HOLMES,0,6,3,9A,"$986,333 ",10,"$801,850 ",8,"$617,368 ",6,"$432,885 ",4,"$248,402 ",2
HOWE,-1,8,4,5A,"$1,254,729 ",13,"$1,020,046 ",10,"$785,363 ",8,"$550,679 ",6,"$315,996 ",3
HOYNE,0,25,13,10B,"$1,005,660 ",10,"$817,562 ",8,"$629,465 ",6,"$441,367 ",4,"$253,270 ",3
HUBBARD HS,-6,22,11,8B,"$4,574,626 ",46,"$3,718,993 ",37,"$2,863,360 ",29,"$2,007,727 ",20,"$1,152,094 ",12
HUGHES C,0,9,5,5B,"$972,606 ",10,"$790,691 ",8,"$608,775 ",6,"$426,860 ",4,"$244,945 ",2
HUGHES L,-2,27,14,9B,"$1,930,313 ",19,"$1,569,269 ",16,"$1,208,225 ",12,"$847,182 ",8,"$486,138 ",5
HURLEY,-3,22,11,8A,"$2,339,857 ",23,"$1,902,213 ",19,"$1,464,568 ",15,"$1,026,924 ",10,"$589,280 ",6
HYDE PARK HS,-1,25,13,10A,"$2,743,172 ",27,"$2,230,092 ",22,"$1,717,012 ",17,"$1,203,932 ",12,"$690,852 ",7
INFINITY HS,-2,23,12,7A,"$1,447,308 ",14,"$1,176,605 ",12,"$905,902 ",9,"$635,199 ",6,"$364,496 ",4
INTER-AMERICAN,-2,11,6,4A,"$1,967,040 ",20,"$1,599,127 ",16,"$1,231,214 ",12,"$863,301 ",9,"$495,388 ",5
IRVING,-2,9,5,5B,"$1,173,978 ",12,"$954,398 ",10,"$734,819 ",7,"$515,239 ",5,"$295,660 ",3
JACKSON M,-1,27,14,9A,"$1,632,330 ",16,"$1,327,020 ",13,"$1,021,711 ",10,"$716,402 ",7,"$411,093 ",4
JAHN,0,11,6,4B,"$1,361,793 ",14,"$1,107,085 ",11,"$852,376 ",9,"$597,668 ",6,"$342,960 ",3
JAMIESON,-1,15,8,2A,"$2,565,335 ",26,"$2,085,517 ",21,"$1,605,700 ",16,"$1,125,883 ",11,"$646,065 ",6
JENSEN,0,9,5,5B,"$1,188,856 ",12,"$966,494 ",10,"$744,132 ",7,"$521,769 ",5,"$299,407 ",3
JOHNSON,0,9,5,5B,"$1,064,744 ",11,"$865,595 ",9,"$666,447 ",7,"$467,298 ",5,"$268,150 ",3
JONES HS,-6,6,3,8B,"$4,786,090 ",48,"$3,890,905 ",39,"$2,995,720 ",30,"$2,100,535 ",21,"$1,205,350 ",12
JOPLIN,-2,31,16,9A,"$1,112,210 ",11,"$904,184 ",9,"$696,157 ",7,"$488,131 ",5,"$280,104 ",3
JORDAN,2,14,7,2A,"$2,022,464 ",20,"$1,644,185 ",16,"$1,265,905 ",13,"$887,626 ",9,"$509,346 ",5
JUAREZ HS,-6,24,12,7A,"$4,410,164 ",44,"$3,585,291 ",36,"$2,760,419 ",28,"$1,935,547 ",19,"$1,110,675 ",11
JULIAN HS,-2,27,14,9B,"$1,898,599 ",19,"$1,543,487 ",15,"$1,188,375 ",12,"$833,263 ",8,"$478,151 ",5
JUNGMAN,0,24,12,7A,"$1,571,051 ",16,"$1,277,204 ",13,"$983,356 ",10,"$689,508 ",7,"$395,660 ",4
KANOON,-2,23,12,7A,"$1,558,460 ",16,"$1,266,967 ",13,"$975,475 ",10,"$683,982 ",7,"$392,489 ",4
KELLER,0,35,18,9B,"$710,506 ",7,"$577,614 ",6,"$444,722 ",4,"$311,829 ",3,"$178,937 ",2
KELLMAN,0,9,5,5B,"$858,139 ",9,"$697,633 ",7,"$537,128 ",5,"$376,623 ",4,"$216,117 ",2
KELLOGG,-1,36,18,9B,"$999,173 ",10,"$812,288 ",8,"$625,404 ",6,"$438,520 ",4,"$251,636 ",3
KELLY HS,-6,23,12,7B,"$5,371,764 ",54,"$4,367,035 ",44,"$3,362,306 ",34,"$2,357,577 ",24,"$1,352,848 ",14
KELVYN PARK HS,-3,39,20,3A,"$1,947,168 ",19,"$1,582,972 ",16,"$1,218,776 ",12,"$854,579 ",9,"$490,383 ",5
KENNEDY HS,-6,22,11,8A,"$4,610,620 ",46,"$3,748,254 ",37,"$2,885,889 ",29,"$2,023,524 ",20,"$1,161,159 ",12
KENWOOD HS,-6,25,13,10A,"$5,346,031 ",53,"$4,346,115 ",43,"$3,346,200 ",33,"$2,346,284 ",23,"$1,346,368 ",13
KERSHAW,0,6,3,9A,"$1,219,733 ",12,"$991,596 ",10,"$763,458 ",8,"$535,321 ",5,"$307,183 ",3
KILMER,-3,14,7,2A,"$2,802,328 ",28,"$2,278,184 ",23,"$1,754,039 ",18,"$1,229,895 ",12,"$705,751 ",7
KING ES,0,32,16,9A,"$838,436 ",8,"$681,616 ",7,"$524,796 ",5,"$367,975 ",4,"$211,155 ",2
KING HS,1,25,13,10A,"$2,561,616 ",26,"$2,082,494 ",21,"$1,603,372 ",16,"$1,124,250 ",11,"$645,128 ",6
KINZIE,-1,22,11,8A,"$2,369,745 ",24,"$1,926,511 ",19,"$1,483,276 ",15,"$1,040,042 ",10,"$596,807 ",6
KIPLING,0,27,14,9B,"$970,985 ",10,"$789,373 ",8,"$607,761 ",6,"$426,149 ",4,"$244,537 ",2
KOZMINSKI,0,25,13,6B,"$1,279,478 ",13,"$1,040,166 ",10,"$800,854 ",8,"$561,542 ",6,"$322,229 ",3
LAKE VIEW HS,-5,11,6,4A,"$4,170,578 ",42,"$3,390,518 ",34,"$2,610,457 ",26,"$1,830,397 ",18,"$1,050,337 ",11
LANE TECH HS,-6,40,20,4B,"$10,719,992 ",107,"$8,714,936 ",87,"$6,709,881 ",67,"$4,704,825 ",47,"$2,699,770 ",27
LANGFORD,0,6,3,9A,"$960,274 ",10,"$780,666 ",8,"$601,057 ",6,"$421,448 ",4,"$241,840 ",2
LARA,-1,24,12,8B,"$1,856,018 ",19,"$1,508,870 ",15,"$1,161,723 ",12,"$814,575 ",8,"$467,428 ",5
LASALLE,-1,12,6,4B,"$1,337,124 ",13,"$1,087,030 ",11,"$836,935 ",8,"$586,841 ",6,"$336,747 ",3
LASALLE II,-1,4,2,5A,"$1,817,411 ",18,"$1,477,484 ",15,"$1,137,558 ",11,"$797,631 ",8,"$457,705 ",5
LAVIZZO,-2,27,14,9B,"$1,438,383 ",14,"$1,169,349 ",12,"$900,316 ",9,"$631,282 ",6,"$362,249 ",4
LAWNDALE,0,9,5,5B,"$924,074 ",9,"$751,236 ",8,"$578,399 ",6,"$405,561 ",4,"$232,723 ",2
LEE,-4,22,11,8A,"$1,790,791 ",18,"$1,455,843 ",15,"$1,120,896 ",11,"$785,948 ",8,"$451,001 ",5
LELAND,3,8,4,5A,"$1,528,461 ",15,"$1,242,580 ",12,"$956,698 ",10,"$670,816 ",7,"$384,934 ",4
LENART,-1,34,17,10B,"$920,718 ",9,"$748,508 ",7,"$576,298 ",6,"$404,088 ",4,"$231,878 ",2
LEWIS,-2,8,4,5A,"$1,774,862 ",18,"$1,442,893 ",14,"$1,110,925 ",11,"$778,957 ",8,"$446,989 ",4
LIBBY,-1,6,3,9A,"$1,300,712 ",13,"$1,057,428 ",11,"$814,144 ",8,"$570,861 ",6,"$327,577 ",3
LINCOLN,-2,12,6,4B,"$2,113,247 ",21,"$1,717,988 ",17,"$1,322,728 ",13,"$927,469 ",9,"$532,209 ",5
LINCOLN PARK HS,-6,12,6,4B,"$5,519,279 ",55,"$4,486,959 ",45,"$3,454,639 ",35,"$2,422,319 ",24,"$1,389,999 ",14
LINDBLOM HS,-5,6,3,9A,"$3,641,601 ",36,"$2,960,480 ",30,"$2,279,359 ",23,"$1,598,238 ",16,"$917,117 ",9
LITTLE VILLAGE,-3,23,12,7A,"$2,233,542 ",22,"$1,815,783 ",18,"$1,398,024 ",14,"$980,264 ",10,"$562,505 ",6
LLOYD,-4,4,2,3B,"$2,724,873 ",27,"$2,215,216 ",22,"$1,705,558 ",17,"$1,195,901 ",12,"$686,244 ",7
LOCKE J,-4,3,2,1B,"$3,050,240 ",31,"$2,479,727 ",25,"$1,909,213 ",19,"$1,338,700 ",13,"$768,186 ",8
LOGAN SQUARE,-1,39,20,3A,"$2,258,120 ",23,"$1,835,763 ",18,"$1,413,407 ",14,"$991,051 ",10,"$568,695 ",6
LORCA,-4,40,20,3A,"$2,121,440 ",21,"$1,724,648 ",17,"$1,327,856 ",13,"$931,065 ",9,"$534,273 ",5
LOVETT,-2,78,39,5A,"$1,187,611 ",12,"$965,482 ",10,"$743,352 ",7,"$521,223 ",5,"$299,093 ",3
LOWELL,-1,4,2,3B,"$1,547,568 ",15,"$1,258,113 ",13,"$968,657 ",10,"$679,202 ",7,"$389,746 ",4
LOZANO,0,10,5,6A,"$1,308,225 ",13,"$1,063,536 ",11,"$818,847 ",8,"$574,158 ",6,"$329,469 ",3
LYON,-3,3,2,1B,"$2,959,001 ",30,"$2,405,553 ",24,"$1,852,104 ",19,"$1,298,656 ",13,"$745,208 ",7
MADERO,-1,23,12,7A,"$969,125 ",10,"$787,861 ",8,"$606,597 ",6,"$425,333 ",4,"$244,069 ",2
MADISON,0,26,13,10A,"$1,110,100 ",11,"$902,469 ",9,"$694,837 ",7,"$487,205 ",5,"$279,573 ",3
MANIERRE,0,9,5,6A,"$1,254,485 ",13,"$1,019,848 ",10,"$785,210 ",8,"$550,573 ",6,"$315,935 ",3
MANLEY HS,0,9,5,5B,"$899,750 ",9,"$731,461 ",7,"$563,173 ",6,"$394,885 ",4,"$226,597 ",2
MANN,-1,33,17,10B,"$1,024,874 ",10,"$833,183 ",8,"$641,491 ",6,"$449,800 ",4,"$258,109 ",3
MARINE LEADERSHIP AT AMES HS,-5,3,2,3B,"$2,089,410 ",21,"$1,698,609 ",17,"$1,307,808 ",13,"$917,007 ",9,"$526,206 ",5
MARQUETTE,-1,32,16,8B,"$2,866,274 ",29,"$2,330,169 ",23,"$1,794,064 ",18,"$1,257,960 ",13,"$721,855 ",7
MARSH,-3,33,17,10B,"$2,473,670 ",25,"$2,010,998 ",20,"$1,548,325 ",15,"$1,085,653 ",11,"$622,980 ",6
MARSHALL HS,0,10,5,5B,"$1,121,103 ",11,"$911,413 ",9,"$701,724 ",7,"$492,034 ",5,"$282,344 ",3
MASON,0,9,5,5B,"$1,203,007 ",12,"$977,998 ",10,"$752,989 ",8,"$527,980 ",5,"$302,971 ",3
MATHER HS,-5,13,7,2A,"$4,892,058 ",49,"$3,977,053 ",40,"$3,062,048 ",31,"$2,147,042 ",21,"$1,232,037 ",12
MAYER,1,10,5,4B,"$2,062,100 ",21,"$1,676,407 ",17,"$1,290,714 ",13,"$905,021 ",9,"$519,328 ",5
MAYS,-2,6,3,9A,"$1,054,684 ",11,"$857,417 ",9,"$660,150 ",7,"$462,883 ",5,"$265,616 ",3
MCAULIFFE,-2,4,2,3B,"$1,825,058 ",18,"$1,483,701 ",15,"$1,142,344 ",11,"$800,987 ",8,"$459,630 ",5
MCCORMICK,-4,23,12,7A,"$1,929,760 ",19,"$1,568,820 ",16,"$1,207,880 ",12,"$846,940 ",8,"$485,999 ",5
MCCUTCHEON,0,13,7,4A,"$1,767,432 ",18,"$1,436,853 ",14,"$1,106,275 ",11,"$775,696 ",8,"$445,118 ",4
MCDADE,0,34,17,10B,"$675,838 ",7,"$549,430 ",5,"$423,022 ",4,"$296,614 ",3,"$170,206 ",2
MCDOWELL,0,33,17,10B,"$660,659 ",7,"$537,090 ",5,"$413,521 ",4,"$289,952 ",3,"$166,383 ",2
MCKAY,0,32,16,8A,"$2,092,008 ",21,"$1,700,721 ",17,"$1,309,434 ",13,"$918,147 ",9,"$526,860 ",5
MCNAIR,0,8,4,5A,"$1,945,509 ",19,"$1,581,623 ",16,"$1,217,737 ",12,"$853,851 ",9,"$489,965 ",5
MCPHERSON,0,13,7,2B,"$3,055,465 ",31,"$2,483,974 ",25,"$1,912,483 ",19,"$1,340,992 ",13,"$769,502 ",8
MELODY,-2,10,5,5B,"$1,495,733 ",15,"$1,215,972 ",12,"$936,212 ",9,"$656,452 ",7,"$376,692 ",4
METCALFE,-1,28,14,9B,"$1,228,026 ",12,"$998,338 ",10,"$768,649 ",8,"$538,960 ",5,"$309,272 ",3
MIÑOSO,-1,#N/A,#N/A,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A
MIRELES,0,25,13,10B,"$1,863,624 ",19,"$1,515,054 ",15,"$1,166,484 ",12,"$817,914 ",8,"$469,343 ",5
MITCHELL,-2,4,2,5A,"$1,309,438 ",13,"$1,064,522 ",11,"$819,606 ",8,"$574,691 ",6,"$329,775 ",3
MOLLISON,0,5,3,6B,"$1,051,337 ",11,"$854,696 ",9,"$658,055 ",7,"$461,414 ",5,"$264,773 ",3
MONARCAS,-3,#N/A,#N/A,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A
MOOS,-1,3,2,3B,"$1,794,079 ",18,"$1,458,517 ",15,"$1,122,954 ",11,"$787,391 ",8,"$451,829 ",5
MORGAN PARK HS,-4,35,18,9B,"$3,788,232 ",38,"$3,079,686 ",31,"$2,371,139 ",24,"$1,662,592 ",17,"$954,045 ",10
MORRILL,-4,6,3,8B,"$2,262,430 ",23,"$1,839,268 ",18,"$1,416,105 ",14,"$992,943 ",10,"$569,780 ",6
MORTON,0,10,5,5B,"$1,271,752 ",13,"$1,033,885 ",10,"$796,018 ",8,"$558,151 ",6,"$320,284 ",3
MOSAIC,-1,16,8,2A,"$2,389,552 ",24,"$1,942,613 ",19,"$1,495,674 ",15,"$1,048,735 ",10,"$601,795 ",6
MOUNT GREENWOOD,-3,35,18,9B,"$2,857,517 ",29,"$2,323,050 ",23,"$1,788,583 ",18,"$1,254,117 ",13,"$719,650 ",7
MOUNT VERNON,0,27,14,9B,"$1,045,006 ",10,"$849,549 ",8,"$654,092 ",7,"$458,636 ",5,"$263,179 ",3
MOZART,-2,3,2,3B,"$2,018,096 ",20,"$1,640,633 ",16,"$1,263,171 ",13,"$885,709 ",9,"$508,246 ",5
MULTICULTURAL ARTS HS,-3,23,12,7A,"$1,150,061 ",12,"$934,955 ",9,"$719,849 ",7,"$504,743 ",5,"$289,636 ",3
MURPHY,-1,40,20,3A,"$1,830,555 ",18,"$1,488,170 ",15,"$1,145,785 ",11,"$803,400 ",8,"$461,015 ",5
MURRAY,-3,25,13,10A,"$1,604,340 ",16,"$1,304,266 ",13,"$1,004,192 ",10,"$704,118 ",7,"$404,044 ",4
NASH,0,8,4,5A,"$1,442,412 ",14,"$1,172,624 ",12,"$902,837 ",9,"$633,050 ",6,"$363,263 ",4
NATIONAL TEACHERS,-1,6,3,8B,"$2,229,036 ",22,"$1,812,119 ",18,"$1,395,203 ",14,"$978,287 ",10,"$561,370 ",6
NEIL,0,34,17,10B,"$1,759,126 ",18,"$1,430,101 ",14,"$1,101,076 ",11,"$772,051 ",8,"$443,026 ",4
NETTELHORST,-1,12,6,4A,"$2,047,729 ",20,"$1,664,724 ",17,"$1,281,719 ",13,"$898,714 ",9,"$515,709 ",5
NEW FIELD,-2,14,7,2A,"$1,972,745 ",20,"$1,603,765 ",16,"$1,234,785 ",12,"$865,805 ",9,"$496,825 ",5
NEW SULLIVAN,-1,25,13,10B,"$1,960,094 ",20,"$1,593,480 ",16,"$1,226,866 ",12,"$860,252 ",9,"$493,639 ",5
NEWBERRY,-3,12,6,4B,"$1,322,241 ",13,"$1,074,930 ",11,"$827,620 ",8,"$580,309 ",6,"$332,999 ",3
NICHOLSON,-2,6,3,9A,"$2,068,763 ",21,"$1,681,824 ",17,"$1,294,885 ",13,"$907,945 ",9,"$521,006 ",5
NIGHTINGALE,-4,1,1,7B,"$2,760,950 ",28,"$2,244,545 ",22,"$1,728,140 ",17,"$1,211,735 ",12,"$695,330 ",7
NINOS HEROES,-2,26,13,10B,"$1,248,896 ",12,"$1,015,304 ",10,"$781,712 ",8,"$548,120 ",5,"$314,527 ",3
NIXON,-3,3,2,3B,"$2,217,808 ",22,"$1,802,991 ",18,"$1,388,175 ",14,"$973,359 ",10,"$558,542 ",6
NOBEL,-3,4,2,3B,"$1,854,719 ",19,"$1,507,814 ",15,"$1,160,910 ",12,"$814,005 ",8,"$467,101 ",5
NORTH RIVER,-1,40,20,3A,"$1,182,999 ",12,"$961,732 ",10,"$740,465 ",7,"$519,198 ",5,"$297,932 ",3
NORTH-GRAND HS,-6,4,2,3B,"$3,580,714 ",36,"$2,910,981 ",29,"$2,241,248 ",22,"$1,571,515 ",16,"$901,783 ",9
NORTHSIDE PREP HS,-1,15,8,2B,"$3,074,322 ",31,"$2,499,304 ",25,"$1,924,286 ",19,"$1,349,269 ",13,"$774,251 ",8
NORTHWEST,-2,3,2,3B,"$1,724,945 ",17,"$1,402,313 ",14,"$1,079,681 ",11,"$757,049 ",8,"$434,418 ",4
NORWOOD PARK,-2,20,10,1A,"$1,048,704 ",10,"$852,556 ",9,"$656,407 ",7,"$460,259 ",5,"$264,110 ",3
OGDEN ES & HS,0,#N/A,#N/A,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A,#N/A ,#N/A
OGLESBY,-1,31,16,9A,"$1,051,105 ",11,"$854,508 ",9,"$657,910 ",7,"$461,313 ",5,"$264,715 ",3
OKEEFFE,-1,25,13,10A,"$1,796,105 ",18,"$1,460,163 ",15,"$1,124,222 ",11,"$788,280 ",8,"$452,339 ",5
ONAHAN,-2,20,10,1A,"$1,858,210 ",19,"$1,510,652 ",15,"$1,163,095 ",12,"$815,537 ",8,"$467,980 ",5
ORIOLE PARK,-3,20,10,1A,"$1,822,772 ",18,"$1,481,843 ",15,"$1,140,914 ",11,"$799,984 ",8,"$459,055 ",5
OROZCO,-1,24,12,7A,"$1,089,424 ",11,"$885,660 ",9,"$681,895 ",7,"$478,130 ",5,"$274,365 ",3
ORR HS,-2,10,5,5A,"$1,377,207 ",14,"$1,119,616 ",11,"$862,025 ",9,"$604,433 ",6,"$346,842 ",3
ORTIZ DE DOMINGUEZ,-3,23,12,7A,"$1,711,667 ",17,"$1,391,518 ",14,"$1,071,370 ",11,"$751,222 ",8,"$431,074 ",4
OTIS,-1,10,5,5B,"$1,785,151 ",18,"$1,451,259 ",15,"$1,117,366 ",11,"$783,473 ",8,"$449,580 ",4
OTOOLE,0,6,3,9A,"$1,211,859 ",12,"$985,194 ",10,"$758,529 ",8,"$531,865 ",5,"$305,200 ",3
OWEN,-1,31,16,8A,"$1,010,581 ",10,"$821,563 ",8,"$632,545 ",6,"$443,527 ",4,"$254,509 ",3
OWENS,-2,28,14,9B,"$1,489,474 ",15,"$1,210,885 ",12,"$932,295 ",9,"$653,705 ",7,"$375,116 ",4
PALMER,-1,15,8,1B,"$2,234,029 ",22,"$1,816,179 ",18,"$1,398,328 ",14,"$980,478 ",10,"$562,628 ",6
PARK MANOR,0,32,16,6B,"$1,249,345 ",12,"$1,015,669 ",10,"$781,993 ",8,"$548,317 ",5,"$314,641 ",3
PARKER,-2,32,16,6B,"$1,840,310 ",18,"$1,496,101 ",15,"$1,151,891 ",12,"$807,681 ",8,"$463,472 ",5
PARKSIDE,-1,26,13,10A,"$1,143,917 ",11,"$929,960 ",9,"$716,003 ",7,"$502,046 ",5,"$288,089 ",3
PASTEUR,-3,22,11,8A,"$2,128,782 ",21,"$1,730,617 ",17,"$1,332,452 ",13,"$934,287 ",9,"$536,122 ",5
PAYTON HS,-3,12,6,6A,"$3,495,353 ",35,"$2,841,586 ",28,"$2,187,819 ",22,"$1,534,052 ",15,"$880,285 ",9
PECK,-4,22,11,7B,"$2,452,392 ",25,"$1,993,699 ",20,"$1,535,006 ",15,"$1,076,314 ",11,"$617,621 ",6
PEIRCE,-3,14,7,2B,"$3,136,351 ",31,"$2,549,732 ",25,"$1,963,112 ",20,"$1,376,492 ",14,"$789,872 ",8
PENN,0,9,5,5B,"$1,128,300 ",11,"$917,264 ",9,"$706,228 ",7,"$495,192 ",5,"$284,156 ",3
PEREZ,-1,24,12,7A,"$1,228,943 ",12,"$999,083 ",10,"$769,222 ",8,"$539,362 ",5,"$309,502 ",3
PERSHING,-3,5,3,6B,"$1,566,622 ",16,"$1,273,603 ",13,"$980,584 ",10,"$687,564 ",7,"$394,545 ",4
PETERSON,-4,15,8,2B,"$2,538,502 ",25,"$2,063,704 ",21,"$1,588,905 ",16,"$1,114,106 ",11,"$639,308 ",6
PHILLIPS HS,-4,5,3,6B,"$1,573,377 ",16,"$1,279,094 ",13,"$984,812 ",10,"$690,529 ",7,"$396,246 ",4
PHOENIX MILITARY HS,-2,10,5,5B,"$1,409,857 ",14,"$1,146,159 ",11,"$882,461 ",9,"$618,763 ",6,"$355,064 ",4
PICCOLO,-3,4,2,3B,"$2,078,563 ",21,"$1,689,791 ",17,"$1,301,019 ",13,"$912,247 ",9,"$523,474 ",5
PICKARD,-2,24,12,7A,"$1,346,818 ",13,"$1,094,911 ",11,"$843,003 ",8,"$591,096 ",6,"$339,189 ",3
PILSEN,0,24,12,7A,"$1,080,278 ",11,"$878,224 ",9,"$676,170 ",7,"$474,116 ",5,"$272,062 ",3
PIRIE,0,34,17,10B,"$917,513 ",9,"$745,902 ",7,"$574,291 ",6,"$402,681 ",4,"$231,070 ",2
PLAMONDON,0,9,5,5B,"$849,967 ",8,"$690,990 ",7,"$532,013 ",5,"$373,036 ",4,"$214,059 ",2
POE,0,34,17,10B,"$763,235 ",8,"$620,480 ",6,"$477,726 ",5,"$334,971 ",3,"$192,216 ",2
PORTAGE PARK,-3,19,10,1B,"$3,043,758 ",30,"$2,474,457 ",25,"$1,905,155 ",19,"$1,335,854 ",13,"$766,553 ",8
POWELL,-1,25,13,10A,"$1,874,696 ",19,"$1,524,055 ",15,"$1,173,414 ",12,"$822,773 ",8,"$472,132 ",5
PRESCOTT,0,40,20,4B,"$1,390,545 ",14,"$1,130,459 ",11,"$870,373 ",9,"$610,287 ",6,"$350,201 ",4
PRIETO,-2,3,2,3B,"$2,384,750 ",24,"$1,938,709 ",19,"$1,492,668 ",15,"$1,046,627 ",10,"$600,586 ",6
PRITZKER,-2,3,2,6A,"$1,765,272 ",18,"$1,435,098 ",14,"$1,104,923 ",11,"$774,748 ",8,"$444,574 ",4
PROSSER HS,-2,3,2,3B,"$3,934,426 ",39,"$3,198,535 ",32,"$2,462,645 ",25,"$1,726,754 ",17,"$990,863 ",10
PRUSSING,-1,19,10,1A,"$1,860,923 ",19,"$1,512,858 ",15,"$1,164,793 ",12,"$816,728 ",8,"$468,663 ",5
PULASKI,-2,39,20,6A,"$2,411,164 ",24,"$1,960,182 ",20,"$1,509,201 ",15,"$1,058,219 ",11,"$607,238 ",6
PULLMAN,0,34,17,10B,"$1,233,146 ",12,"$1,002,500 ",10,"$771,854 ",8,"$541,207 ",5,"$310,561 ",3
