School Name,Projected Core Teacher Position Loss,Rep,Senate,ERSB,100% Funding,Positions 100%,95% Funding,Positions 95%,90% Funding,Positions 90%,85% Funding,Positions 85%,80% Funding,Positions 80%
BRIGHTON PARK,-1,24,12,8B,"$1,244,077 ",12,"$1,011,386 ",10,"$778,695 ",8,"$546,005 ",5,"$313,314 ",3
BRONZEVILLE CLASSICAL,-2,5,3,6B,"$1,085,990 ",11,"$882,867 ",9,"$679,745 ",7,"$476,623 ",5,"$273,500 ",3
BRONZEVILLE HS,0,5,3,6B,"$912,234 ",9,"$741,611 ",7,"$570,987 ",6,"$400,364 ",4,"$229,741 ",2
BROOKS HS,-2,28,14,9B,"$2,849,733 ",28,"$2,316,722 ",23,"$1,783,711 ",18,"$1,250,700 ",13,"$717,689 ",7
BROWN R,0,28,14,9B,"$1,103,365 ",11,"$896,993 ",9,"$690,621 ",7,"$484,249 ",5,"$277,876 ",3
BROWN W,0,10,5,5B,"$1,142,367 ",11,"$928,700 ",9,"$715,033 ",7,"$501,366 ",5,"$287,699 ",3
BROWNELL,0,6,3,6B,"$731,063 ",7,"$594,326 ",6,"$457,589 ",5,"$320,851 ",3,"$184,114 ",2
BRUNSON,0,78,39,5A,"$1,759,041 ",18,"$1,430,032 ",14,"$1,101,023 ",11,"$772,014 ",8,"$443,004 ",4
BUDLONG,-3,13,7,2B,"$2,305,782 ",23,"$1,874,511 ",19,"$1,443,240 ",14,"$1,011,969 ",10,"$580,698 ",6
BURBANK,-3,4,2,5A,"$2,667,878 ",27,"$2,168,881 ",22,"$1,669,884 ",17,"$1,170,887 ",12,"$671,890 ",7
BURKE,-2,5,3,6B,"$1,286,523 ",13,"$1,045,893 ",10,"$805,263 ",8,"$564,634 ",6,"$324,004 ",3
BURLEY,-1,11,6,4B,"$1,428,087 ",14,"$1,160,979 ",12,"$893,871 ",9,"$626,763 ",6,"$359,656 ",4
BURNHAM,-2,33,17,10B,"$1,679,122 ",17,"$1,365,061 ",14,"$1,051,000 ",11,"$736,939 ",7,"$422,877 ",4
BURNSIDE,0,34,17,10B,"$1,250,959 ",13,"$1,016,981 ",10,"$783,003 ",8,"$549,025 ",5,"$315,047 ",3
BURR,-1,10,5,4B,"$1,369,434 ",14,"$1,113,297 ",11,"$857,159 ",9,"$601,022 ",6,"$344,884 ",3
BURROUGHS,-2,24,12,8B,"$1,357,843 ",14,"$1,103,873 ",11,"$849,904 ",8,"$595,935 ",6,"$341,965 ",3
BYRNE,0,21,11,8A,"$2,008,555 ",20,"$1,632,877 ",16,"$1,257,199 ",13,"$881,521 ",9,"$505,843 ",5
CALMECA,-3,23,12,7B,"$2,167,817 ",22,"$1,762,351 ",18,"$1,356,885 ",14,"$951,419 ",10,"$545,953 ",5
CAMERON,-3,4,2,3B,"$2,200,813 ",22,"$1,789,175 ",18,"$1,377,537 ",14,"$965,900 ",10,"$554,262 ",6
CAMRAS,-2,3,2,1B,"$2,478,071 ",25,"$2,014,575 ",20,"$1,551,079 ",16,"$1,087,584 ",11,"$624,088 ",6
CANTY,0,20,10,1A,"$2,662,124 ",27,"$2,164,203 ",22,"$1,666,283 ",17,"$1,168,362 ",12,"$670,441 ",7
CARDENAS,-4,23,12,7A,"$2,776,172 ",28,"$2,256,920 ",23,"$1,737,668 ",17,"$1,218,416 ",12,"$699,163 ",7
CARNEGIE,1,26,13,10A,"$1,472,757 ",15,"$1,197,294 ",12,"$921,832 ",9,"$646,369 ",6,"$370,906 ",4
CARROLL,0,31,16,8A,"$1,675,163 ",17,"$1,361,842 ",14,"$1,048,522 ",10,"$735,201 ",7,"$421,880 ",4
CARSON,-4,1,1,8B,"$1,998,156 ",20,"$1,624,423 ",16,"$1,250,690 ",13,"$876,957 ",9,"$503,224 ",5
CARTER,-1,5,3,6B,"$1,067,725 ",11,"$868,019 ",9,"$668,313 ",7,"$468,607 ",5,"$268,901 ",3
CARVER G,-2,29,15,10B,"$1,611,251 ",16,"$1,309,884 ",13,"$1,008,518 ",10,"$707,151 ",7,"$405,785 ",4
CARVER MILITARY HS,-1,34,17,10B,"$1,697,352 ",17,"$1,379,881 ",14,"$1,062,410 ",11,"$744,939 ",7,"$427,469 ",4
CASALS,-2,4,2,3B,"$1,073,612 ",11,"$872,804 ",9,"$671,997 ",7,"$471,190 ",5,"$270,383 ",3
CASSELL,-1,35,18,9B,"$1,480,667 ",15,"$1,203,724 ",12,"$926,782 ",9,"$649,840 ",6,"$372,898 ",4
CATHER,-1,10,5,5B,"$1,505,195 ",15,"$1,223,665 ",12,"$942,135 ",9,"$660,605 ",7,"$379,075 ",4
CHALMERS,0,9,5,5B,"$1,152,969 ",12,"$937,319 ",9,"$721,669 ",7,"$506,019 ",5,"$290,369 ",3
CHAPPELL,-1,13,7,2B,"$2,105,528 ",21,"$1,711,713 ",17,"$1,317,897 ",13,"$924,081 ",9,"$530,265 ",5
CHASE,0,39,20,3B,"$2,095,369 ",21,"$1,703,454 ",17,"$1,311,538 ",13,"$919,622 ",9,"$527,707 ",5
CHAVEZ,-1,6,3,8B,"$2,730,791 ",27,"$2,220,027 ",22,"$1,709,263 ",17,"$1,198,499 ",12,"$687,734 ",7
CHICAGO ACADEMY ES,-1,3,2,1B,"$1,736,554 ",17,"$1,411,751 ",14,"$1,086,947 ",11,"$762,144 ",8,"$437,341 ",4
CHICAGO ACADEMY HS,-3,3,2,1B,"$1,886,891 ",19,"$1,533,969 ",15,"$1,181,047 ",12,"$828,125 ",8,"$475,203 ",5
CHICAGO AGRICULTURE HS,-2,35,18,9B,"$3,094,962 ",31,"$2,516,083 ",25,"$1,937,205 ",19,"$1,358,327 ",14,"$779,449 ",8
CHICAGO MILITARY HS,0,5,3,6B,"$1,133,275 ",11,"$921,308 ",9,"$709,342 ",7,"$497,375 ",5,"$285,409 ",3
CHICAGO VOCATIONAL HS,-1,33,17,10B,"$2,697,803 ",27,"$2,193,209 ",22,"$1,688,615 ",17,"$1,184,021 ",12,"$679,426 ",7
CHICAGO WORLD LANGUAGE ACADEMY,-1,9,5,7A,"$1,367,512 ",14,"$1,111,734 ",11,"$855,956 ",9,"$600,178 ",6,"$344,400 ",3
